timestamp,open,high,low,close,volume
2021-08-31 19:00:00,295.5350,295.6890,295.3860,295.4500,3026
2021-08-31 18:00:00,295.6140,295.6600,295.4160,295.4690,25213
2021-08-31 17:00:00,295.3490,295.6110,295.2790,295.5080,18441
2021-08-31 16:00:00,295.3490,295.6990,295.2420,295.4990,7155100
2021-08-31 15:00:00,296.6600,296.9610,294.9070,295.3710,4058401
2021-08-31 14:00:00,296.6260,296.9080,296.2860,296.6480,1071373
2021-08-31 13:00:00,297.0420,297.1470,296.1880,296.6140,994629
2021-08-31 12:00:00,297.1990,297.5190,296.8240,297.0250,906594
2021-08-31 11:00:00,296.5140,297.8320,296.1400,297.1810,1187851
2021-08-31 10:00:00,296.1570,297.2420,295.8310,296.4870,1439194
2021-08-31 09:00:00,297.2280,298.3900,295.7230,296.1640,1866000
2021-08-31 08:00:00,297.4240,297.8110,296.4720,297.2110,21355
2021-08-31 07:00:00,296.9830,297.8620,296.8140,297.2300,21093
2021-08-31 06:00:00,297.7560,297.8910,296.5700,297.0050,11486
2021-08-31 05:00:00,298.2940,298.3410,297.7340,297.7880,3544
2021-08-31 04:00:00,298.1280,298.6440,298.0570,298.2870,6895
2021-08-30 19:00:00,296.9050,297.0790,296.6770,297.0150,4902
2021-08-30 18:00:00,296.7390,296.9710,296.5890,296.8880,7866
2021-08-30 17:00:00,296.9830,297.0790,296.5110,296.5750,32963
2021-08-30 16:00:00,297.0220,297.3530,296.7950,297.2890,2072850
2021-08-30 15:00:00,296.7000,297.3630,296.4230,296.9760,1754612
2021-08-30 14:00:00,296.8950,297.0590,296.4330,296.6920,865786
2021-08-30 13:00:00,296.4080,297.1520,296.1590,296.8580,904058
2021-08-30 12:00:00,296.8170,296.9030,296.0610,296.3970,901501
2021-08-30 11:00:00,297.5510,297.6850,296.3640,296.7900,1198299
2021-08-30 10:00:00,296.5630,297.6170,295.6960,297.5380,2117774
2021-08-30 09:00:00,294.2540,297.4020,293.9290,296.5450,2069982
2021-08-30 08:00:00,294.3320,294.5930,294.0270,294.2270,20672
2021-08-30 07:00:00,294.4100,294.6720,294.2420,294.3050,9579
2021-08-30 06:00:00,294.7820,294.9260,294.4180,294.4710,13100
2021-08-30 05:00:00,294.4300,294.7300,294.3590,294.5790,1781
2021-08-30 04:00:00,294.6740,294.7500,294.2710,294.4220,15207
2021-08-27 19:00:00,293.1580,293.2630,293.0190,293.2000,3523
2021-08-27 18:00:00,293.2070,293.2530,292.9800,293.0330,2126
2021-08-27 17:00:00,293.2170,293.2630,293.0680,293.2000,432
2021-08-27 16:00:00,293.2170,293.3600,292.9510,293.0140,2676183
2021-08-27 15:00:00,292.6880,293.6950,292.5640,293.1510,2213792
2021-08-27 14:00:00,293.0310,293.1060,292.4330,292.6710,1061059
2021-08-27 13:00:00,292.9330,293.5460,292.7750,293.0140,943496
2021-08-27 12:00:00,293.2260,293.3410,292.5790,292.9260,925789
2021-08-27 11:00:00,293.0990,293.4190,292.1880,293.2000,1451692
2021-08-27 10:00:00,291.2110,294.4070,290.8090,293.0920,3514078
2021-08-27 09:00:00,293.7060,293.8010,290.3390,291.1630,2316503
2021-08-27 08:00:00,293.8820,294.2410,293.2800,293.6890,20345
2021-08-27 07:00:00,293.9110,294.2210,293.4200,293.6500,18964
2021-08-27 06:00:00,293.8720,293.9380,293.7240,293.8450,1230
2021-08-27 05:00:00,293.5980,293.8500,293.4400,293.7870,1242
2021-08-27 04:00:00,293.1680,293.6050,292.8430,293.5420,4814
2021-08-26 19:00:00,292.8740,292.9200,292.0220,292.0740,21802
2021-08-26 18:00:00,292.7080,292.9300,292.5690,292.8570,4643
2021-08-26 17:00:00,292.7760,292.8610,292.4620,292.7980,11041
2021-08-26 16:00:00,292.6200,292.8420,292.3640,292.7500,1888576
2021-08-26 15:00:00,293.8530,293.8990,292.4130,292.5730,2468597
2021-08-26 14:00:00,294.1360,294.2510,293.6750,293.8510,1021408
2021-08-26 13:00:00,294.2930,294.6420,294.0270,294.1290,762932
2021-08-26 12:00:00,293.9800,294.5640,293.8700,294.2960,852407
2021-08-26 11:00:00,293.6570,294.5840,293.0780,293.9090,1645162
2021-08-26 10:00:00,294.5770,295.4450,293.0780,293.7280,2995013
2021-08-26 09:00:00,294.5670,295.9330,294.1050,294.5890,1511563
2021-08-26 08:00:00,295.1730,295.8260,294.0760,294.4710,30997
2021-08-26 07:00:00,295.1440,295.6600,295.0540,295.2540,7854
2021-08-26 05:00:00,295.1540,295.2200,294.9460,295.0000,481
2021-08-26 04:00:00,294.9970,295.0630,294.9270,295.0000,499
2021-08-25 19:00:00,295.7510,295.7970,295.4940,295.6260,2709
2021-08-25 18:00:00,295.6140,295.7970,295.5430,295.7240,2434
2021-08-25 17:00:00,295.5650,295.8510,295.4740,295.7870,6917
2021-08-25 16:00:00,295.4770,295.7380,294.6720,295.5960,2385949
2021-08-25 15:00:00,294.7670,295.9930,294.6820,295.4500,2034649
2021-08-25 14:00:00,294.5080,295.1610,293.8510,294.7550,1512711
2021-08-25 13:00:00,294.9870,295.0630,294.1930,294.4910,1147981
2021-08-25 12:00:00,294.8310,295.0730,294.5260,294.9650,896454
2021-08-25 11:00:00,295.5470,296.0510,294.7410,294.8050,1387655
2021-08-25 10:00:00,295.5060,295.8750,294.7210,295.5380,1874052
2021-08-25 09:00:00,297.3450,298.1060,294.5350,295.4840,2628198
2021-08-25 08:00:00,296.7830,297.3820,296.3160,297.2500,49832
2021-08-25 07:00:00,296.8370,296.8830,296.0320,296.6730,50779
2021-08-25 06:00:00,296.8170,296.8630,296.5700,296.6240,17489
2021-08-25 05:00:00,296.6310,296.8340,296.5500,296.7210,1255
2021-08-25 04:00:00,296.5330,296.5800,296.4620,296.5160,200
2021-08-24 19:00:00,296.2010,296.2960,295.8850,295.9490,10188
2021-08-24 18:00:00,296.5430,296.5900,296.0420,296.1930,6353
2021-08-24 17:00:00,296.3470,296.7170,296.2760,296.5750,8709
2021-08-24 16:00:00,296.0730,296.4920,295.9440,296.4280,2758053
2021-08-24 15:00:00,296.6310,296.7520,295.6310,296.1150,2126464
2021-08-24 14:00:00,296.3620,296.7070,296.1880,296.6240,846374
2021-08-24 13:00:00,295.8680,296.5500,295.6900,296.3400,856208
2021-08-24 12:00:00,296.0540,296.2560,295.4680,295.8310,1027101
