timestamp,open,high,low,close,volume,sentiment_score,Predictions_lstm
2021-06-09 00:00:00+00:00,247.141,247.419,247.079,247.359,678,0.2890339425587467,
2021-06-09 00:00:00+00:00,247.356,247.536,246.991,247.31,9392,0.2890339425587467,
2021-06-09 00:00:00+00:00,247.161,247.829,247.069,247.486,17501,0.2890339425587467,
2021-06-09 00:00:00+00:00,247.59,249.567,247.382,248.736,2149771,0.2890339425587467,
2021-06-09 00:00:00+00:00,248.762,248.932,247.196,247.915,2029357,0.2890339425587467,
2021-06-09 00:00:00+00:00,247.917,248.971,247.792,248.218,1470970,0.2890339425587467,245.85952979460893
2021-06-09 00:00:00+00:00,248.23,249.177,248.125,249.097,1277566,0.2890339425587467,246.1551992550949
2021-06-09 00:00:00+00:00,249.114,249.377,248.69,248.833,1063839,0.2890339425587467,246.34809526169263
2021-06-09 00:00:00+00:00,248.86,249.098,247.958,248.111,1333664,0.2890339425587467,245.80714224350365
2021-06-09 00:00:00+00:00,248.113,248.268,247.362,247.642,2405211,0.2890339425587467,246.5782182987191
2021-06-09 00:00:00+00:00,247.629,247.868,247.343,247.388,2118837,0.2890339425587467,245.90564027333198
2021-06-09 00:00:00+00:00,247.6,247.799,247.538,247.613,8000,0.2890339425587467,245.68129843206412
2021-06-09 00:00:00+00:00,247.707,247.751,247.538,247.583,2473,0.2890339425587467,246.0017738182841
2021-06-09 00:00:00+00:00,247.639,247.751,247.391,247.437,4106,0.2890339425587467,245.28257129572262
2021-06-10 00:00:00+00:00,247.248,247.292,246.776,246.822,683,0.3197543500511771,245.53246287765998
2021-06-10 00:00:00+00:00,247.053,247.096,246.991,247.037,966,0.3197543500511771,245.36496542983429
2021-06-10 00:00:00+00:00,246.858,246.901,246.796,246.841,100,0.3197543500511771,245.2855405081886
2021-06-10 00:00:00+00:00,246.907,247.174,246.366,246.988,16758,0.3197543500511771,246.04122019896744
2021-06-10 00:00:00+00:00,247.161,248.288,245.527,248.013,43828,0.3197543500511771,245.9198574189684
2021-06-10 00:00:00+00:00,248.264,250.368,247.616,249.839,2320002,0.3197543500511771,246.33940532622705
2021-06-10 00:00:00+00:00,249.846,250.436,248.534,249.195,2986549,0.3197543500511771,246.75378281259282
2021-06-10 00:00:00+00:00,249.201,250.9,248.924,250.728,3049580,0.3197543500511771,246.70678338431276
2021-06-10 00:00:00+00:00,250.744,251.438,250.477,251.362,2002299,0.3197543500511771,247.773837311085
2021-06-10 00:00:00+00:00,251.379,251.452,250.193,250.933,1703375,0.3197543500511771,248.09711258604585
2021-06-10 00:00:00+00:00,250.949,251.052,250.174,250.786,1424160,0.3197543500511771,248.57931027160885
2021-06-10 00:00:00+00:00,250.808,251.433,250.266,251.177,3045515,0.3197543500511771,249.71385179740392
2021-06-10 00:00:00+00:00,251.193,251.872,250.955,251.489,3376104,0.3197543500511771,249.20022037172257
2021-06-10 00:00:00+00:00,251.643,252.341,251.579,252.231,33299,0.3197543500511771,249.74911951044166
2021-06-10 00:00:00+00:00,252.199,252.302,252.048,252.114,24081,0.3197543500511771,250.01032554558435
2021-06-10 00:00:00+00:00,252.131,252.468,251.892,252.407,7168,0.3197543500511771,249.6999551573901
2021-06-11 00:00:00+00:00,251.467,251.589,250.896,251.45,2329,0.3365953109072375,250.32384051724566
2021-06-11 00:00:00+00:00,251.447,251.491,251.238,251.343,2706,0.3365953109072375,249.89770107925807
